"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",,"Distance to Parks"
"37","North Carolina","37007920600","Anson County, NC - 37007920600","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007920600","Anson County, NC - 37007920600","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37007980000","Anson County, NC - 37007980000","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37007980000","Anson County, NC - 37007980000","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970200","Ashe County, NC - 37009970200","2020","2.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970200","Ashe County, NC - 37009970200","2020","7.1%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970300","Ashe County, NC - 37009970300","2020","28.1%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970300","Ashe County, NC - 37009970300","2020","43.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970400","Ashe County, NC - 37009970400","2020","43.6%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970400","Ashe County, NC - 37009970400","2020","69.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970501","Ashe County, NC - 37009970501","2020","30.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970501","Ashe County, NC - 37009970501","2020","52.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970502","Ashe County, NC - 37009970502","2020","13.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970502","Ashe County, NC - 37009970502","2020","45.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970701","Ashe County, NC - 37009970701","2020","7.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970701","Ashe County, NC - 37009970701","2020","17.1%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970702","Ashe County, NC - 37009970702","2020","0.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970702","Ashe County, NC - 37009970702","2020","3.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970801","Ashe County, NC - 37009970801","2020","14.4%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970801","Ashe County, NC - 37009970801","2020","25.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37009970802","Ashe County, NC - 37009970802","2020","13.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37009970802","Ashe County, NC - 37009970802","2020","29.9%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37011930100","Avery County, NC - 37011930100","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37011930100","Avery County, NC - 37011930100","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37011930200","Avery County, NC - 37011930200","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37011930200","Avery County, NC - 37011930200","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37011930301","Avery County, NC - 37011930301","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37011930301","Avery County, NC - 37011930301","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37011930302","Avery County, NC - 37011930302","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37011930302","Avery County, NC - 37011930302","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37011930400","Avery County, NC - 37011930400","2020","100.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37011930400","Avery County, NC - 37011930400","2020","100.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930101","Beaufort County, NC - 37013930101","2020","4.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930101","Beaufort County, NC - 37013930101","2020","7.4%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930102","Beaufort County, NC - 37013930102","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930102","Beaufort County, NC - 37013930102","2020","2.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930200","Beaufort County, NC - 37013930200","2020","0.2%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930200","Beaufort County, NC - 37013930200","2020","1.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930300","Beaufort County, NC - 37013930300","2020","48.3%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930300","Beaufort County, NC - 37013930300","2020","77.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930400","Beaufort County, NC - 37013930400","2020","40.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930400","Beaufort County, NC - 37013930400","2020","82.5%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930501","Beaufort County, NC - 37013930501","2020","5.7%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930501","Beaufort County, NC - 37013930501","2020","12.3%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930502","Beaufort County, NC - 37013930502","2020","0.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930502","Beaufort County, NC - 37013930502","2020","2.8%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930600","Beaufort County, NC - 37013930600","2020","9.8%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930600","Beaufort County, NC - 37013930600","2020","17.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930700","Beaufort County, NC - 37013930700","2020","0.9%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930700","Beaufort County, NC - 37013930700","2020","2.6%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930800","Beaufort County, NC - 37013930800","2020","10.5%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930800","Beaufort County, NC - 37013930800","2020","15.2%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013930900","Beaufort County, NC - 37013930900","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013930900","Beaufort County, NC - 37013930900","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013931001","Beaufort County, NC - 37013931001","2020","0.0%","",,"Distance to Parks: 1/2 Mile"
"37","North Carolina","37013931001","Beaufort County, NC - 37013931001","2020","0.0%","",,"Distance to Parks: 1 Mile"
"37","North Carolina","37013931002","Beaufort County, NC - 37013931002","2020","12.3%","",,"Distance to Parks: 1/2 Mile"
